taxonid,year,category
198,1994,Ex
198,1990,Ex
198,1983,E
199,1996,CR
199,1994,E
199,1990,Ex
199,1983,E
200,1996,CR
200,1994,E
200,1990,E
200,1983,E
201,1996,CR
201,1994,E
201,1990,E
201,1983,E
202,1996,EX
202,1994,Ex
202,1990,Ex
202,1983,E
203,1996,CR
203,1994,E
203,1990,E
203,1983,E
204,1996,EX
204,1994,Ex
204,1990,Ex
204,1983,E
205,1996,CR
205,1994,E
205,1990,Ex
205,1983,E
207,1996,CR
207,1994,E
207,1990,Ex
207,1983,E
209,1996,CR
209,1994,E
209,1983,E
210,1996,EX
210,1994,Ex?
211,1996,EX
211,1994,Ex
211,1983,E
212,2008,CR
212,1996,EN
212,1994,I
213,2019,EN
213,1996,VU
213,1994,E
214,2018,DD
214,2010,DD
214,2006,DD
214,1996,DD
214,1994,I
214,1990,I
214,1988,I
214,1986,I
215,2017,VU
215,2011,VU
215,1996,VU
215,1994,R
217,2011,NT
217,1996,DD
218,1996,VU
218,1994,I
219,2015,VU
219,2008,VU
219,2002,VU
219,1996,VU
219,1994,V
219,1990,V
219,1988,V
219,1986,V
220,2008,CR
220,1996,CR
220,1994,E
220,1990,E
220,1988,E
220,1986,E
220,1965,NA
221,2008,CR
221,1996,EN
222,2004,VU
222,1996,VU
222,1994,V
222,1990,V
222,1988,V
222,1986,V
223,2004,LC
223,1996,VU
223,1994,V
223,1990,V
223,1988,V
223,1986,V
224,2011,CR
224,2010,CR
224,1996,VU
225,2010,CR
225,1996,EN
227,2010,VU
227,1996,VU
228,2010,CR
228,1996,EN
228,1994,V
228,1990,V
228,1988,V
228,1986,V
229,2010,CR
229,1996,EN
230,2010,CR
230,1996,CR
230,1994,E
230,1990,E
230,1988,E
231,2010,CR
231,1996,CR
232,2010,CR
232,1996,EN
233,2006,NT
233,1996,VU
234,2004,LC
234,1996,LR/nt
235,2010,CR
235,1996,EN
236,2010,CR
236,1996,EN
241,2010,CR
241,1996,EN
242,2006,VU
242,1996,LR/nt
243,2006,NT
243,1996,LR/nt
243,1994,V
243,1990,V
244,2010,EN
244,1996,VU
245,2006,NT
245,1996,LR/nt
245,1990,V
245,1988,V
245,1986,V
257,2004,EN
257,1996,EN
263,2016,LC
263,2008,LC
263,2004,LC
263,1996,LR/lc
264,2019,DD
264,2008,DD
264,1996,CR
265,2016,LC
265,2008,LC
265,2004,LC
265,1996,LR/lc
266,2016,LC
266,2008,LC
266,2004,LC
266,1996,LR/lc
267,2016,LC
267,2008,LC
267,2004,LC
267,1996,LR/lc
268,2016,LC
268,2008,LC
268,2004,LC
268,1996,LR/lc
269,2019,DD
269,2008,DD
269,1996,VU
270,2016,LC
270,2008,LC
270,2004,LC
270,1996,LR/lc
271,2019,DD
271,2008,DD
271,2000,DD
271,1996,LR/nt
272,2016,LC
272,2008,LC
272,2004,LC
272,1996,LR/lc
273,2016,LC
273,2008,LC
273,1996,LR/lc
275,2017,LC
275,2016,LC
275,2008,LC
275,2004,LC
275,1996,LR/lc
276,2017,LC
276,2016,LC
276,2008,LC
276,2004,LC
276,1996,LR/lc
278,2016,LC
278,2013,LC
278,2008,LC
278,1996,LR/lc
279,2016,DD
279,2013,DD
279,2008,DD
279,1996,LR/lc
282,2011,LC
282,1996,VU
