"scientific_name","common_name","previous_category","new_category","reason_for_change","year"
"Anchusa crispa",NA,"CR","EN","N","2011.1"
"Campnosperma seychellarum",NA,"EN","CR","N","2011.2"
"Centranthus trinervis",NA,"CR","EN","G","2011.1"
"Colea seychellarum",NA,"VU","EN","N","2011.2"
"Craterispermum microdon",NA,"VU","EN","N","2011.2"
"Deckenia nobilis",NA,"EN","VU","N","2011.2"
"Dillenia ferruginea",NA,"VU","NT","N","2011.2"
"Diospyros seychellarum",NA,"VU","NT","N","2011.2"
"Erythroxylum sechellarum",NA,"VU","LC","N","2011.2"
"Glionnetia sericea",NA,"VU","EN","N","2011.2"
"Grisollea thomassetii",NA,"VU","CR","N","2011.2"
"Ixora pudica",NA,"VU","NT","N","2011.2"
"Limonium strictissimum",NA,"CR","EN","N","2011.1"
"Lodoicea maldivica","Coco de Mer","VU","EN","N","2011.1"
"Memecylon elaeagni",NA,"VU","LC","N","2011.2"
"Mimusops sechellarum",NA,"VU","NT","N","2011.2"
"Nephrosperma van-houtteanum",NA,"LR/nt","LC","N","2011.2"
"Pandanus multispicatus",NA,"VU","NT","N","2011.2"
"Pandanus sechellarum","Seychelles Pandanus","VU","NT","N","2011.2"
"Phoenicophorium borsigianum",NA,"LR/nt","LC","N","2011.2"
"Rothmannia annae","Wright's Gardenia","VU","CR","N","2011.2"
"Schefflera procumbens",NA,"VU","CR","N","2011.2"
"Silene hicesiae",NA,"CR","VU","G","2011.1"
"Verschaffeltia splendida",NA,"LR/cd","NT","N","2011.2"
"Zelkova abelicea",NA,"VU","EN","N","2011.2"
"Abies cephalonica","Greek Fir","LR/nt","LC","N","2011.2"
"Abies koreana","Korean Fir","LR/nt","EN","N","2011.2"
"Abies numidica",NA,"VU","CR","N","2011.2"
"Abies pinsapo",NA,"LR/nt","EN","G","2011.2"
"Abies spectabilis",NA,"LR/lc","NT","N","2011.2"
"Abies ziyuanensis","Ziyuan Fir","CR","EN","N","2011.2"
"Glyptostrobus pensilis",NA,"EN","CR","G","2011.2"
"Juniperus brevifolia",NA,"EN","VU","N","2011.1"
"Picea koyamae","Koyama's Spruce","EN","CR","N","2011.2"
"Picea omorika","Serbian Spruce","VU","EN","N","2011.2"
"Pinus longaeva",NA,"VU","LC","N","2011.2"
"Taxus contorta",NA,"VU","EN","G","2011.2"
"Taxus wallichiana",NA,"DD","EN","N","2011.2"
"Tetraclinis articulata",NA,"LR/nt","LC","N","2011.2"
"Thuja koraiensis",NA,"DD","VU","N","2011.2"
"Eumetopias jubatus","Steller Sea Lion","EN","NT","G","2012.2"
"Vulpes pallida","Pale Fox","DD","LC","N","2012.2"
"Accipiter poliogaster","Gray-bellied Hawk","LC","NT","G","2012.1"
"Aceros cassidix","Knobbed Hornbill","LC","VU","N","2012.1"
"Actophilornis albinucha","Madagascar Jacana","LC","NT","N","2012.1"
"Agamia agami","Agami Heron","LC","VU","G","2012.1"
"Alectoris graeca","Rock Partridge","LC","NT","N","2012.1"
"Amazona auropalliata","Yellow-naped Amazon","LC","VU","N","2012.1"
"Amazona festiva","Festive Amazon","LC","VU","G","2012.1"
"Amazona kawalli","Kawall's Amazon","LC","NT","G","2012.1"
"Amytornis dorotheae","Carpentarian Grasswren","VU","NT","N","2012.1"
"Amytornis housei","Black Grasswren","LC","NT","G","2012.1"
"Amytornis merrotsyi","Short-tailed Grasswren","LC","NT","G","2012.1"
"Aphelocoma insularis","Island Scrub-jay","NT","VU","G","2012.1"
"Aptenodytes forsteri","Emperor Penguin","LC","NT","N","2012.1"
"Arborophila gingica","Rickett's Hill-partridge","VU","NT","N","2012.1"
"Ardeotis arabs","Arabian Bustard","LC","NT","N","2012.1"
"Ardeotis australis","Australian Bustard","NT","LC","N","2012.1"
"Arremon castaneiceps","Olive Finch","LC","NT","G","2012.1"
"Asthenes helleri","Puna Thistletail","LC","VU","G","2012.1"
"Atrichornis clamosus","Noisy Scrub-bird","VU","EN","G","2012.1"
"Atrichornis rufescens","Rufous Scrub-bird","VU","EN","G","2012.1"
"Aythya baeri","Baer's Pochard","EN","CR","G","2012.1"
"Balearica regulorum","Grey Crowned-crane","VU","EN","N","2012.1"
"Bleda eximius","Green-tailed Bristlebill","VU","NT","N","2012.1"
"Burhinus grallarius","Bush Thick-knee","NT","LC","N","2012.1"
"Bycanistes cylindricus","Brown-cheeked Hornbill","NT","VU","N","2012.1"
"Cacicus koepckeae","Selva Cacique","VU","EN","G","2012.1"
"Calidris pusilla","Semipalmated Sandpiper","LC","NT","G","2012.1"
"Capito dayi","Black-girdled Barbet","LC","VU","G","2012.1"
"Capito hypoleucus","White-mantled Barbet","EN","VU","N","2012.1"
"Carduelis monguilloti","Vietnam Greenfinch","NT","LC","N","2012.1"
"Cephalopterus glabricollis","Bare-necked Umbrellabird","VU","EN","N","2012.1"
"Ceratogymna elata","Yellow-casqued Hornbill","NT","VU","N","2012.1"
"Cercomacra carbonaria","Rio Branco Antbird","NT","CR","G","2012.1"
"Cissa thalassina*","Short-tailed Green Magpie","LC","CR","N","2012.1"
"Clangula hyemalis","Long-tailed Duck","LC","VU","G","2012.1"
"Conirostrum bicolor","Bicoloured Conebill","LC","NT","G","2012.1"
"Conirostrum margaritae","Pearly-breasted Conebill","LC","VU","G","2012.1"
"Conopias cinchoneti","Lemon-browed Flycatcher","LC","VU","G","2012.1"
"Cranioleuca curtata","Ash-browed Spinetail","LC","VU","G","2012.1"
"Cranioleuca marcapatae","Marcapata Spinetail","LC","VU","G","2012.1"
"Cranioleuca muelleri","Scaled Spinetail","LC","EN","G","2012.1"
"Crax alector","Black Curassow","LC","VU","G","2012.1"
"Crypturellus atrocapillus","Black-capped Tinamou","LC","NT","G","2012.1"
"Crypturellus duidae","Grey-legged Tinamou","LC","NT","G","2012.1"
"Cyanolyca viridicyanus","White-collared Jay","LC","NT","G","2012.1"
"Cyanoramphus cookii","Norfolk Island Parakeet","EN","CR","G","2012.1"
"Dasyornis longirostris","Western Bristlebird","VU","EN","G","2012.1"
"Deconychura longicauda","Long-tailed Woodcreeper","LC","NT","G","2012.1"
"Dendrocolaptes hoffmannsi","Hoffmanns's Woodcreeper","LC","VU","G","2012.1"
"Dendroplex kienerii","Zimmer's Woodcreeper","LC","NT","G","2012.1"
"Dicrurus megarhynchus","Ribbon-tailed Drongo","LC","NT","N","2012.1"
"Discosura popelairii","Wire-crested Thorntail","LC","NT","G","2012.1"
"Ducula whartoni","Christmas Island Imperial-pigeon","VU","NT","N","2012.1"
"Dysithamnus leucostictus","White-streaked Antvireo","LC","VU","G","2012.1"
"Erythrotriorchis radiatus","Red Goshawk","VU","NT","N","2012.1"
"Erythrura gouldiae","Gouldian Finch","EN","NT","G","2012.1"
"Eubucco versicolor","Versicoloured Barbet","LC","NT","G","2012.1"
"Falco cherrug","Saker Falcon","VU","EN","N","2012.1"
"Falco deiroleucus","Orange-breasted Falcon","LC","NT","G","2012.1"
"Falco hypoleucos","Grey Falcon","NT","VU","N","2012.1"
"Formicivora littoralis","Restinga Antwren","CR","EN","N","2012.1"
"Francolinus griseostriatus","Grey-striped Francolin","NT","LC","N","2012.1"
"Geophaps smithii","Partridge Pigeon","NT","VU","G","2012.1"
"Geotrygon saphirina","Sapphire Quail-dove","LC","VU","G","2012.1"
"Gerygone modesta","Norfolk Island Gerygone","VU","NT","N","2012.1"
"Grallaria milleri","Brown-banded Antpitta","EN","VU","N","2012.1"
"Grallaria przewalskii","Rusty-tinged Antpitta","LC","VU","G","2012.1"
"Grallaria watkinsi","Watkins's Antpitta","LC","NT","N","2012.1"
"Grallaricula flavirostris","Ochre-breasted Antpitta","LC","NT","G","2012.1"
"Gyps africanus","White-backed Vulture","NT","EN","G","2012.1"
"Gyps rueppellii","Rueppell's Vulture","NT","EN","G","2012.1"
"Heliodoxa gularis","Pink-throated Brilliant","NT","VU","G","2012.1"
"Hemispingus parodii","Parodi's Hemispingus","LC","NT","G","2012.1"
"Hemitriccus cinnamomeipectus","Cinnamon-breasted Tody-tyrant","NT","VU","N","2012.1"
"Herpsilochmus axillaris","Yellow-breasted Antwren","LC","VU","G","2012.1"
"Herpsilochmus motacilloides","Creamy-bellied Antwren","LC","NT","G","2012.1"
"Hylexetastes brigidai","Mato Grosso Woodcreeper","LC","VU","G","2012.1"
"Hylexetastes uniformis","Uniform Woodcreeper","LC","VU","G","2012.1"
"Hylophilus olivaceus","Olivaceous Greenlet","LC","NT","G","2012.1"
"Hypocnemis cantator","Guianan Warbling-antbird","LC","NT","G","2012.1"
"Hypopyrrhus pyrohypogaster","Red-bellied Grackle","EN","VU","N","2012.1"
"Irena cyanogastra","Philippine Fairy-bluebird","LC","NT","N","2012.1"
"Lepidothrix iris","Opal-crowned Manakin","LC","VU","G","2012.1"
"Lepidothrix isidorei","Blue-rumped Manakin","LC","NT","G","2012.1"
"Leptopogon taczanowskii","Inca Flycatcher","LC","NT","G","2012.1"
"Lophornis gouldii","Dot-eared Coquette","LC","VU","G","2012.1"
"Lophura edwardsi","Edwards's Pheasant","EN","CR","N","2012.1"
"Lorius domicella","Purple-naped Lory","VU","EN","G","2012.1"
"Malaconotus monteiri","Monteiro's Bush-shrike","DD","NT","N","2012.1"
"Megascops barbarus","Bearded Screech-owl","NT","VU","N","2012.1"
"Melanitta fusca","Velvet Scoter","LC","EN","G","2012.1"
"Merops mentalis","Blue-moustached Bee-eater","LC","NT","N","2012.1"
"Metallura odomae","Neblina Metaltail","NT","LC","N","2012.1"
"Mitu tomentosum","Crestless Curassow","LC","NT","G","2012.1"
"Myrmoborus lugubris","Ash-breasted Antbird","LC","VU","G","2012.1"
"Myrmoborus melanurus","Black-tailed Antbird","NT","VU","G","2012.1"
"Myrmornis torquata","Wing-banded Antbird","LC","NT","G","2012.1"
"Myrmotherula grisea","Ashy Antwren","NT","LC","N","2012.1"
"Myrmotherula gutturalis","Brown-bellied Antwren","LC","NT","G","2012.1"
"Myrmotherula surinamensis","Guianan Streaked Antwren","LC","VU","G","2012.1"
"Neochmia ruficauda","Star Finch","NT","LC","N","2012.1"
"Neomorphus squamiger","Scaled Ground-cuckoo","NT","VU","G","2012.1"
"Nothocercus nigrocapillus","Hooded Tinamou","LC","VU","G","2012.1"
"Oceanodroma monorhis","Swinhoe's Storm-petrel","LC","NT","N","2012.1"
"Odontophorus gujanensis","Marbled Wood-quail","LC","NT","G","2012.1"
"Odontophorus speciosus","Rufous-breasted Wood-quail","LC","NT","G","2012.1"
"Odontorchilus cinereus","Tooth-billed Wren","LC","NT","G","2012.1"
"Ortalis superciliaris","Buff-browed Chachalaca","NT","LC","N","2012.1"
"Pachycephala rufogularis","Red-lored Whistler","NT","VU","G","2012.1"
"Patagioenas subvinacea","Ruddy Pigeon","LC","VU","G","2012.1"
"Penelope pileata","White-crested Guan","NT","VU","G","2012.1"
"Penelopides exarhatus","Sulawesi Hornbill","LC","VU","N","2012.1"
"Percnostola lophotes","White-lined Antbird","LC","NT","G","2012.1"
"Periporphyrus erythromelas","Red-and-black Grosbeak","LC","NT","N","2012.1"
"Pezoporus occidentalis","Night Parrot","CR","EN","N","2012.1"
"Phlogophilus hemileucurus","Ecuadorian Piedtail","NT","VU","G","2012.1"
"Phoebastria nigripes","Black-footed Albatross","EN","VU","N","2012.1"
"Phylloscartes gualaquizae","Ecuadorian Tyrannulet","LC","NT","G","2012.1"
"Picumnus fuscus","Rusty-necked Piculet","NT","LC","N","2012.1"
"Picumnus minutissimus","Guianan Piculet","LC","NT","G","2012.1"
"Picumnus spilogaster","White-bellied Piculet","LC","VU","G","2012.1"
"Picumnus steindachneri","Speckle-chested Piculet","VU","EN","G","2012.1"
"Picumnus varzeae","Varzea Piculet","LC","EN","G","2012.1"
"Pionites leucogaster","White-bellied Parrot","LC","VU","G","2012.1"
"Pipile cumanensis","Blue-throated Piping-guan","LC","VU","G","2012.1"
"Podiceps gallardoi","Hooded Grebe","EN","CR","G","2012.1"
"Poecilotriccus luluae","Lulu's Tody-flycatcher","VU","EN","G","2012.1"
"Poephila cincta","Black-throated Finch","NT","LC","N","2012.1"
"Polytelis swainsonii","Superb Parrot","VU","LC","N","2012.1"
"Pomarea dimidiata","Rarotonga Monarch","EN","VU","G","2012.1"
"Pomarea mira","Ua Pou Monarch","EX","CR(PE)","N","2012.1"
"Prioniturus verticalis","Blue-winged Racquet-tail","EN","CR","G","2012.1"
"Progne modesta","Galapagos Martin","VU","EN","N","2012.1"
"Progne sinaloae","Sinaloa Martin","DD","VU","N","2012.1"
"Psittacus erithacus","Grey Parrot","NT","VU","N","2012.1"
"Psophia viridis","Dark-winged Trumpeter","LC","EN","G","2012.1"
"Psophodes nigrogularis","Western Whipbird","NT","LC","N","2012.1"
"Pteroglossus bitorquatus","Red-necked Aracari","LC","NT","G","2012.1"
"Puffinus yelkouan","Yelkouan Shearwater","NT","VU","G","2012.1"
"Pygoscelis adeliae","Adelie Penguin","LC","NT","N","2012.1"
"Pyrilia barrabandi","Orange-cheeked Parrot","LC","NT","G","2012.1"
"Pyrilia caica","Caica Parrot","LC","NT","G","2012.1"
"Pyrilia vulturina","Vulturine Parrot","LC","VU","G","2012.1"
"Pyrrhura lepida","Pearly Parakeet","NT","VU","G","2012.1"
"Pyrrhura perlata","Crimson-bellied Parakeet","LC","VU","G","2012.1"
"Pyrrhura rupicola","Black-capped Parakeet","LC","NT","G","2012.1"
"Ramphastos ambiguus","Black-mandibled Toucan","LC","VU","G","2012.1"
"Rhegmatorhina gymnops","Bare-eyed Antbird","LC","VU","G","2012.1"
"Rhegmatorhina hoffmannsi","White-breasted Antbird","LC","NT","G","2012.1"
"Rukia ruki","Faichuk White-eye","CR","EN","N","2012.1"
"Sclerurus albigularis","Grey-throated Leaftosser","LC","NT","G","2012.1"
"Sericossypha albocristata","White-capped Tanager","LC","VU","G","2012.1"
"Simoxenops striatus","Bolivian Recurvebill","NT","LC","N","2012.1"
"Snowornis subalaris","Grey-tailed Piha","LC","NT","G","2012.1"
"Spizaetus ornatus","Ornate Hawk-eagle","LC","NT","G","2012.1"
"Stachyris nonggangensis","Nonggang Babbler","NT","VU","N","2012.1"
"Stagonopleura guttata","Diamond Firetail","NT","LC","N","2012.1"
"Stephanoaetus coronatus","Crowned Hawk-eagle","LC","NT","N","2012.1"
"Sterna acuticauda","Black-bellied Tern","NT","EN","G","2012.1"
"Sterna aurantia","River Tern","LC","NT","N","2012.1"
"Synallaxis cabanisi","Cabanis's Spinetail","LC","NT","G","2012.1"
"Synallaxis kollari","Hoary-throated Spinetail","EN","CR","G","2012.1"
"Synallaxis maranonica","Maranon Spinetail","VU","CR","G","2012.1"
"Synallaxis moesta","Dusky Spinetail","LC","NT","G","2012.1"
"Tachyeres leucocephalus","White-headed Steamerduck","NT","VU","N","2012.1"
"Tangara argyrofenges","Straw-backed Tanager","LC","VU","G","2012.1"
"Thamnophilus cryptoleucus","Castelnau's Antshrike","LC","NT","G","2012.1"
"Thamnophilus nigrocinereus","Blackish-grey Antshrike","LC","NT","G","2012.1"
"Thamnophilus tenuepunctatus","Lined Antshrike","LC","VU","G","2012.1"
"Thinornis rubricollis","Hooded Plover","NT","VU","G","2012.1"
"Tinamus guttatus","White-throated Tinamou","LC","NT","G","2012.1"
"Tinamus major","Great Tinamou","LC","NT","G","2012.1"
"Tinamus tao","Grey Tinamou","LC","VU","G","2012.1"
"Touit huetii","Scarlet-shouldered Parrotlet","LC","VU","G","2012.1"
"Turnix castanotus","Chestnut-backed Buttonquail","NT","LC","N","2012.1"
"Turnix melanogaster","Black-breasted Buttonquail","VU","NT","N","2012.1"
"Vanellus duvaucelii","River Lapwing","LC","NT","N","2012.1"
"Vermivora crissalis","Colima Warbler","NT","LC","N","2012.1"
"Xanthomyza phrygia","Regent Honeyeater","EN","CR","G","2012.1"
"Xipholena lamellipennis","White-tailed Cotinga","LC","NT","G","2012.1"
"Zebrilus undulatus","Zigzag Heron","LC","NT","G","2012.1"
"Zimmerius cinereicapilla","Red-billed Tyrannulet","LC","VU","G","2012.1"
"Zosterops natalis","Christmas Island White-eye","VU","NT","N","2012.1"
"Zosterops tenuirostris","Slender-billed White-eye","EN","NT","N","2012.1"
"Amphiesma flavifrons","Sabah Keelback","NT","LC","N","2012.1"
"Anomochilus leonardi","Malayan Giant Blind Snake","DD","LC","N","2012.1"
"Asaccus platyrhynchus",NA,"DD","LC","N","2012.2"
"Boiga bourreti","Bourret's Cat Snake","DD","EN","N","2012.1"
"Calamaria abstrusa","Padang Reed Snake","EN","DD","N","2012.1"
"Calamaria ingeri",NA,"EN","CR","G","2012.1"
"Crocodylus moreletii","Morelet's Crocodile","LR/cd","LC","N","2012.2"
"Cyclura lewisi","Grand Cayman Blue Iguana","CR","EN","G","2012.2"
"Gehyra brevipalmata","Palau Island Dtella","DD","LC","N","2012.2"
"Gongylosoma scripta","Common Ring-neck","DD","LC","N","2012.1"
"Iguanognathus werneri","Spatula-toothed Snake","VU","DD","N","2012.1"
"Naja siamensis","Black And White Spitting Cobra","LC","VU","G","2012.1"
"Oligodon lacroixi","Lacroix Kukri Snake","DD","VU","N","2012.1"
"Oligodon planiceps",NA,"DD","LC","N","2012.1"
"Oligodon pulcherrimus",NA,"DD","VU","N","2012.1"
"Paratapinophis praemaxillaris","Angel's Mountain Keelback","DD","LC","N","2012.1"
"Plagiopholis delacouri",NA,"LC","DD","N","2012.1"
"Plagiopholis nuchalis","Assam Mountain Snake","DD","LC","N","2012.1"
"Pristurus ornithocephalus","Birdhead Rock Gecko","DD","LC","N","2012.2"
"Pristurus saada","Yemen Rock Gecko","DD","LC","N","2012.2"
"Protobothrops cornutus","Horned Pit Viper","DD","NT","N","2012.1"
"Protobothrops mangshanensis","Mangshan Pit Viper","VU","EN","N","2012.1"
"Protobothrops sieversorum","Three Horned-scaled Pitviper","LC","EN","N","2012.1"
"Pseudorabdion saravacense",NA,"DD","LC","N","2012.1"
"Trimeresurus brongersmai","Brongersma's Pit Viper","VU","NT","N","2012.1"
"Typhlops koshunensis","Koshun Worm Snake","LC","DD","N","2012.1"
"Adenomus kandianus",NA,"EX","CR","N","2012.2"
"Anodonthyla hutchisoni",NA,"DD","EN","G","2012.1"
"Discoglossus nigriventer","Hula Painted Frog","EX","CR","N","2012.1"
"Excidobates captivus","Rio Santiago Poison Frog","DD","LC","N","2012.1"
"Hyperolius horstockii",NA,"VU","LC","N","2012.1"
"Incilius holdridgei","Holdridge's Toad","EX","CR","N","2012.2"
"Ranitomeya fantastica","Fantastic Poison Frog","LC","NT","N","2012.1"
"Acanthurus gahhm","Black Surgeonfish","DD","LC","N","2012.2"
"Amblypharyngodon chulabhornae",NA,"VU","LC","N","2012.1"
"Cestraeus oxyrhyncus","Sharp-nosed River Mullet","LC","DD","N","2012.2"
"Crossocheilus reticulatus",NA,"VU","LC","N","2012.1"
"Discherodontus halei",NA,"LR/lc","DD","N","2012.1"
"Elops affinis","Ladyfish","LC","DD","N","2012.2"
"Esomus longimanus","Mekong Flying Barb","NT","DD","N","2012.1"
"Hippocampus algiricus","West African Seahorse","DD","VU","N","2012.2"
"Hippocampus histrix","Spiny Seahorse","DD","VU","N","2012.2"
"Hippocampus kelloggi","Great Seahorse","DD","VU","N","2012.2"
"Hypsibarbus oatesii",NA,"LC","DD","N","2012.1"
"Monotrete baileyi","Hairy Puffer","VU","LC","N","2012.1"
"Monotrete cambodgiensis","Cambodian Puffer","VU","LC","N","2012.1"
"Opsarius pulchellus",NA,"VU","LC","N","2012.1"
"Parioglossus neocaledonicus",NA,"NT","DD","N","2012.2"
"Probarbus labeaminor",NA,"DD","NT","N","2012.1"
"Psammogobius biocellatus","Sleepy Goby","LR/nt","LC","N","2012.2"
"Redigobius bikolanus","Speckled Goby","LR/nt","LC","N","2012.2"
"Scarus guacamaia","Rainbow Parrotfish","DD","NT","N","2012.2"
"Schistura cataracta",NA,"VU","LC","N","2012.1"
"Schistura dubia",NA,"LC","DD","N","2012.1"
"Schistura personata",NA,"VU","NT","N","2012.1"
"Schistura pervagata",NA,"DD","LC","N","2012.1"
"Schistura spiesi",NA,"DD","VU","N","2012.1"
"Syngnathus taenionotus",NA,"EN","DD","N","2012.1"
"Zenarchopterus dispar","Feathered River-garfish","DD","LC","N","2012.2"
"Aaadonta angaurana",NA,"DD","CR","N","2012.2"
"Aaadonta constricta",NA,"DD","EN","N","2012.2"
"Aaadonta fuscozonata",NA,"DD","EN","N","2012.2"
"Aaadonta irregularis",NA,"DD","CR","N","2012.2"
"Aaadonta kinlochi",NA,"DD","CR","N","2012.2"
"Aaadonta pelewana",NA,"DD","CR","N","2012.2"
"Conus africanus",NA,"VU","LC","N","2012.1"
"Conus nobrei",NA,"VU","NT","N","2012.1"
"Cumberlandia monodonta","Spectaclecase","LR/nt","EN","N","2012.2"
"Cyprogenia aberti","Western Fanshell","EN","DD","N","2012.1"
"Diplommatina alata",NA,"DD","CR","N","2012.2"
"Diplommatina aurea",NA,"DD","CR","N","2012.2"
"Diplommatina crassilabris",NA,"DD","CR","N","2012.2"
"Diplommatina gibboni",NA,"DD","CR","N","2012.2"
"Diplommatina inflatula",NA,"DD","EN","N","2012.2"
"Diplommatina lamellata",NA,"DD","NT","N","2012.2"
"Diplommatina lutea",NA,"DD","NT","N","2012.2"
"Diplommatina pyramis",NA,"DD","EN","N","2012.2"
"Diplommatina ringens",NA,"DD","CR","N","2012.2"
"Elimia bellula","Walnut Elimia","VU","EN","N","2012.1"
"Elimia interveniens","Slowwater Elimia","VU","NT","N","2012.2"
"Elimia varians","Puzzle Elimia","EX","VU","N","2012.2"
"Elimia variata","Squat Elimia","DD","NT","N","2012.2"
"Elliptio nigella","Recovery Pearly Mussel","EX","CR","N","2012.2"
"Elliptoideus sloatianus","Purple Bankclimber","EN","VU","N","2012.1"
"Epioblasma capsaeformis","Oyster Mussel","CR","EN","N","2012.1"
"Epioblasma othcaloogensis","Southern Acorn Riffle Shell","CR","CR(PE)","N","2012.1"
"Fontigens turritella","Greenbrier Cavesnail","VU","NT","N","2012.2"
"Fusconaia cuneolus","Finerayed Pigtoe","CR","EN","N","2012.1"
"Fusconaia lananensis","Fusconaia lananensis","LR/nt","EN","N","2012.2"
"Fusconaia subrotunda","Longsolid","LR/nt","VU","N","2012.2"
"Gyraulus cockburni",NA,"CR","EN","N","2012.2"
"Hungerfordia pelewensis",NA,"DD","EN","N","2012.2"
"Hydrobia lactea",NA,"DD","NT","N","2012.2"
"Kubaryia pilikia",NA,"DD","CR","N","2012.2"
"Lampedusa imitatrix",NA,"VU","EN","N","2012.1"
"Lampsilis abrupta","Pink Mucket","EN","VU","N","2012.2"
"Lampsilis ornata","Southern Pocketbook","LR/nt","LC","N","2012.2"
"Lampsilis splendida","Rayed Pink Fatmucket","LR/nt","LC","N","2012.1"
"Lasmigona subviridis",NA,"LR/nt","LC","N","2012.2"
"Leptoxis taeniata","Painted Rocksnail","VU","EN","G","2012.2"
"Ligumia recta","Black Sandshell","LR/nt","LC","N","2012.2"
"Marstonia castor","Beaverpond Marstonia","DD","CR","N","2012.2"
"Marstonia ogmoraphe","Royal Marstonia","VU","LC","N","2012.1"
"Marstonia ozarkensis","Ozark Pyrg","DD","CR","G","2012.2"
"Medionidus parvulus","Coosa Moccasinshell","CR","EN","N","2012.1"
"Medionidus walkeri","Suwannee Moccasinshell","EN","CR","N","2012.1"
"Neoplanorbis tantillus","Little Flat-top Snail","CR","EX","N","2012.2"
"Obovaria haddletoni","Haddleton Lampmussel","LR/nt","CR","N","2012.2"
"Obovaria jacksoniana","Southern Hickorynut","LR/nt","VU","N","2012.2"
"Omphalotropis cheynei",NA,"DD","LC","N","2012.2"
"Palaina albata",NA,"DD","CR","N","2012.2"
"Palaina dimorpha",NA,"DD","NT","N","2012.2"
"Palaina moussoni",NA,"DD","CR","N","2012.2"
"Palaina patula",NA,"DD","CR","N","2012.2"
"Palaina platycheilus",NA,"DD","CR","N","2012.2"
"Palaina pupa",NA,"DD","CR","N","2012.2"
"Palaina rubella",NA,"DD","CR","N","2012.2"
"Palaina strigata",NA,"DD","VU","N","2012.2"
"Palaina striolata",NA,"DD","CR","N","2012.2"
"Palaina wilsoni",NA,"DD","EN","N","2012.2"
"Palaua minor",NA,"DD","LC","N","2012.2"
"Palline notera",NA,"DD","CR","N","2012.2"
"Partula thetis",NA,"CR","EN","N","2012.2"
"Pleurobema curtum","Black Clubshell","CR","CR(PE)","N","2012.1"
"Pleurobema hanleyianum","Georgia Pigtoe","EX","CR","N","2012.2"
"Pleurobema perovatum","Ovate Clubshell","CR","EX","N","2012.1"
"Pleurobema rubellum","Warrior Pigtoe","EX","CR","N","2012.2"
"Pleurobema taitianum","Heavy Pigtoe","EX","EN","N","2012.2"
"Pleurocera corpulenta","Stout Riversnail","VU","CR","N","2012.2"
"Pleurocera foremani","Foreman's High-spired Riversnail","VU","EN","N","2012.2"
"Pleuronaia barnesiana","Tennessee Pigtoe","LR/nt","LC","N","2012.2"
"Pleuronaia dolabelloides","Slab-sided Pearly Mussel","LR/nt","EN","N","2012.2"
"Potamilus capax","Fat Pocketbook","CR","VU","G","2012.2"
"Pseudopalaina polymorpha",NA,"DD","CR","N","2012.2"
"Ptychobranchus greenii","Triangular Kidneyshell","CR","EN","N","2012.2"
"Pupina difficilis",NA,"DD","LC","N","2012.2"
"Pyrgulopsis bernardina","San Bernadino Springsnail","DD","EN","N","2012.2"
"Pyrgulopsis conica","Kingman Springsnail","DD","VU","N","2012.1"
"Pyrgulopsis erythropoma","Ash Meadows Pebblesnail","VU","CR","N","2012.2"
"Pyrgulopsis glandulosa","Verde Rim Springsnail","DD","VU","N","2012.1"
"Pyrgulopsis metcalfi","Naegele Springsnail","VU","EN","G","2012.1"
"Pyrgulopsis montezumensis","Montezuma Well Springsnail","DD","VU","N","2012.2"
"Pyrgulopsis roswellensis","Roswell Springsnail","DD","VU","G","2012.2"
"Pyrgulopsis thermalis","New Mexico Hotspring Snail","VU","CR","N","2012.1"
"Pyrgulopsis thompsoni","Huachuca Springsnail","VU","NT","G","2012.2"
"Pyrgulopsis trivialis","Three Forks Springsnail","DD","CR","G","2012.1"
"Quadrula rumphiana","Ridged Mapleleaf","LR/nt","LC","N","2012.1"
"Rhodacmea filosa","Wicker Ancylid","EX","CR","N","2012.1"
"Samoana diaphana","Polynesian Tree Snail","DD","EN","N","2012.2"
"Semperdon kororensis",NA,"DD","CR","N","2012.2"
"Semperdon uncatus",NA,"DD","EN","N","2012.2"
"Semperdon xyleborus",NA,"DD","CR","N","2012.2"
"Somatogyrus virginicus",NA,"EN","LC","N","2012.2"
"Stagnicola bonnevillensis","Fat-whorled Pondsnail","VU","CR","G","2012.1"
"Truncatella guerinii",NA,"DD","LC","N","2012.2"
"Tryonia brunei","Brune Spring Snail","DD","CR(PE)","N","2012.1"
"Vertigo angustior","Narrow-mouthed Whorl Snail","LR/cd","NT","N","2012.1"
"Vertigo moulinsiana","Desmoulin's Whorl Snail","LR/cd","VU","N","2012.1"
"Videna electra",NA,"DD","VU","N","2012.2"
"Videna oleacina",NA,"DD","EN","N","2012.2"
"Videna pagodula",NA,"DD","CR","N","2012.2"
"Videna pumila",NA,"DD","CR","N","2012.2"
"Abarema cochliocarpos",NA,"VU","LC","N","2012.2"
"Acacia ankokib",NA,"LR/nt","VU","N","2012.2"
"Albizia glabripetala",NA,"LR/nt","LC","N","2012.2"
"Aquilaria rostrata",NA,"DD","CR","N","2012.1"
"Baphia speciosa",NA,"VU","NT","N","2012.2"
"Beccariophoenix madagascariensis",NA,"CR","VU","N","2012.2"
"Berlinia coriacea",NA,"VU","LC","N","2012.2"
"Bobgunnia fistuloides",NA,"EN","LC","N","2012.2"
"Borassus madagascariensis",NA,"VU","EN","G","2012.2"
"Brachystegia zenkeri",NA,"VU","LC","N","2012.2"
