"name","year","category"
"Achatinella valida","1983","E"
"Achatinella viridans","1996","CR"
"Achatinella viridans","1994","E"
"Achatinella viridans","1990","Ex"
"Achatinella viridans","1983","E"
"Achatinella vulpina","1996","CR"
"Achatinella vulpina","1994","E"
"Achatinella vulpina","1990","Ex"
"Achatinella vulpina","1983","E"
"Achatinella leucorrhaphe","1996","CR"
"Achatinella leucorrhaphe","1994","E"
"Achatinella leucorrhaphe","1983","E"
"Acheilognathus elongatus","2008","CR"
"Acheilognathus elongatus","1996","EN"
"Acheilognathus elongatus","1994","I"
"Acheilognathus longipinnis","2019","EN"
"Acheilognathus longipinnis","1996","VU"
"Acheilognathus longipinnis","1994","E"
"Aciagrion rarum","2018","DD"
"Aciagrion rarum","2010","DD"
"Aciagrion rarum","2006","DD"
"Aciagrion rarum","1996","DD"
"Aciagrion rarum","1994","I"
"Aciagrion rarum","1990","I"
"Aciagrion rarum","1988","I"
"Aciagrion rarum","1986","I"
"Acicula norrisi","2017","VU"
"Acicula norrisi","2011","VU"
"Acicula norrisi","1996","VU"
"Acicula norrisi","1994","R"
"Acicula palaestinensis","1996","VU"
"Acicula hausdorfi","2011","NT"
"Acicula hausdorfi","1996","DD"
"Acilius duvergeri","1996","VU"
"Acilius duvergeri","1994","I"
"Acinonyx jubatus","2015","VU"
"Acinonyx jubatus","2008","VU"
"Acinonyx jubatus","2002","VU"
"Acinonyx jubatus","1996","VU"
"Acinonyx jubatus","1994","V"
"Acinonyx jubatus","1990","V"
"Acinonyx jubatus","1988","V"
"Acinonyx jubatus","1986","V"
"Acipenser brevirostrum","2004","VU"
"Acipenser brevirostrum","1996","VU"
"Acipenser brevirostrum","1994","V"
"Acipenser brevirostrum","1990","V"
"Acipenser brevirostrum","1988","V"
"Acipenser brevirostrum","1986","V"
"Acipenser fulvescens","2004","LC"
"Acipenser fulvescens","1996","VU"
"Acipenser fulvescens","1994","V"
"Acipenser fulvescens","1990","V"
"Acipenser fulvescens","1988","V"
"Acipenser fulvescens","1986","V"
"Acipenser naccarii","2011","CR"
"Acipenser naccarii","2010","CR"
"Acipenser naccarii","1996","VU"
"Acipenser nudiventris","2010","CR"
"Acipenser nudiventris","1996","EN"
"Acipenser ruthenus","2010","VU"
"Acipenser ruthenus","1996","VU"
"Acipenser schrenckii","2010","CR"
"Acipenser schrenckii","1996","EN"
"Acipenser schrenckii","1994","V"
"Acipenser schrenckii","1990","V"
"Acipenser schrenckii","1988","V"
"Acipenser schrenckii","1986","V"
"Acipenser stellatus","2010","CR"
"Acipenser stellatus","1996","EN"
"Acipenser sturio","2010","CR"
"Acipenser sturio","1996","CR"
"Acipenser sturio","1994","E"
"Acipenser sturio","1990","E"
"Acipenser sturio","1988","E"
"Acipenser dabryanus","2010","CR"
"Acipenser dabryanus","1996","CR"
"Acipenser gueldenstaedtii","2010","CR"
"Acipenser gueldenstaedtii","1996","EN"
"Acipenser medirostris","2006","NT"
"Acipenser medirostris","1996","VU"
"Acipenser transmontanus","2004","LC"
"Acipenser transmontanus","1996","LR/nt"
"Acipenser persicus","2010","CR"
"Acipenser persicus","1996","EN"
"Acipenser sinensis","2010","CR"
"Acipenser sinensis","1996","EN"
"Acipenser mikadoi","2010","CR"
"Acipenser mikadoi","1996","EN"
"Acipenser baerii","2010","EN"
"Acipenser baerii","1996","VU"
"Acipenser oxyrinchus","2006","NT"
"Acipenser oxyrinchus","1996","LR/nt"
"Acipenser oxyrinchus","1990","V"
"Acipenser oxyrinchus","1988","V"
"Acipenser oxyrinchus","1986","V"
"Acipenser nudiventris","2010","CR"
"Acipenser nudiventris","1996","EN"
"Acipenser transmontanus","2004","LC"
"Acipenser transmontanus","1996","LR/nt"
"Acomys cahirinus","2016","LC"
"Acomys cahirinus","2008","LC"
"Acomys cahirinus","2004","LC"
"Acomys cahirinus","1996","LR/lc"
"Acomys cilicicus","2019","DD"
"Acomys cilicicus","2008","DD"
"Acomys cilicicus","1996","CR"
"Acomys cineraceus","2016","LC"
"Acomys cineraceus","2008","LC"
"Acomys cineraceus","2004","LC"
"Acomys cineraceus","1996","LR/lc"
"Acomys ignitus","2016","LC"
"Acomys ignitus","2008","LC"
"Acomys ignitus","2004","LC"
"Acomys ignitus","1996","LR/lc"
"Acomys kempi","2016","LC"
"Acomys kempi","2008","LC"
"Acomys kempi","2004","LC"
"Acomys kempi","1996","LR/lc"
"Acomys louisae","2016","LC"
"Acomys louisae","2008","LC"
"Acomys louisae","2004","LC"
"Acomys louisae","1996","LR/lc"
"Acomys minous","2019","DD"
"Acomys minous","2008","DD"
"Acomys minous","1996","VU"
"Acomys mullah","2016","LC"
"Acomys mullah","2008","LC"
"Acomys mullah","2004","LC"
"Acomys mullah","1996","LR/lc"
"Acomys nesiotes","2019","DD"
"Acomys nesiotes","2008","DD"
"Acomys nesiotes","2000","DD"
"Acomys nesiotes","1996","LR/nt"
"Acomys percivali","2016","LC"
"Acomys percivali","2008","LC"
"Acomys percivali","2004","LC"
"Acomys percivali","1996","LR/lc"
"Acomys russatus","2016","LC"
"Acomys russatus","2008","LC"
"Acomys russatus","1996","LR/lc"
"Acomys subspinosus","2017","LC"
"Acomys subspinosus","2016","LC"
"Acomys subspinosus","2008","LC"
"Acomys subspinosus","2004","LC"
"Acomys subspinosus","1996","LR/lc"
"Acomys wilsoni","2017","LC"
"Acomys wilsoni","2016","LC"
"Acomys wilsoni","2008","LC"
"Acomys wilsoni","2004","LC"
"Acomys wilsoni","1996","LR/lc"
"Aconaemys fuscus","2016","LC"
"Aconaemys fuscus","2013","LC"
"Aconaemys fuscus","2008","LC"
"Aconaemys fuscus","1996","LR/lc"
"Aconaemys sagei","2016","DD"
"Aconaemys sagei","2013","DD"
"Aconaemys sagei","2008","DD"
"Aconaemys sagei","1996","LR/lc"
"Acrantophis dumerili","2011","LC"
"Acrantophis dumerili","1996","VU"
"Acrantophis dumerili","1994","K"
"Acrantophis dumerili","1990","K"
"Acrantophis dumerili","1988","K"
"Acrantophis dumerili","1986","K"
"Acrantophis madagascariensis","2011","LC"
"Acrantophis madagascariensis","1996","VU"
"Acrantophis madagascariensis","1994","K"
"Acrantophis madagascariensis","1990","K"
"Acrantophis madagascariensis","1988","K"
"Acrantophis madagascariensis","1986","K"
"Acrodipsas illidgei","1996","EN"
"Acrodipsas illidgei","1994","R"
"Acrolophitus pulchellus","1996","VU"
"Acrolophitus pulchellus","1994","I"
"Acrolophitus pulchellus","1990","I"
"Acrolophitus pulchellus","1988","I"
"Acrolophitus pulchellus","1986","I"
"Acroloxus coloradensis","2017","NT"
"Acroloxus coloradensis","1996","VU"
"Acroloxus coloradensis","1994","I"
"Actinella actinophora","2011","VU"
"Actinella actinophora","1996","LR/nt"
"Actinella actinophora","1994","V"
"Actinella anaglyptica","2011","NT"
"Actinella anaglyptica","2000","VU"
"Actinella anaglyptica","1996","VU"
"Actinella anaglyptica","1994","V"
"Actinella armitageana","2011","VU"
"Actinella armitageana","2000","VU"
"Actinella armitageana","1994","V"
"Actinella carinofausta","2011","EN"
"Actinella carinofausta","2000","VU"
"Actinella carinofausta","1996","LR/nt"
"Actinella carinofausta","1994","R"
"Actinella littorinella","2011","VU"
"Actinella littorinella","2000","VU"
"Actinella littorinella","1996","VU"
"Actinella littorinella","1994","E"
"Actinella fausta","2011","LC"
"Actinella fausta","2000","LR/nt"
"Actinella fausta","1996","LR/nt"
"Actinella fausta","1994","E"
"Actinella giramica","2011","VU"
"Actinella giramica","2000","VU"
"Actinella giramica","1996","LR/nt"
"Actinella giramica","1994","V"
"Actinella laciniosa","2011","VU"
"Actinella laciniosa","1996","DD"
"Actinella laciniosa","1994","R"
"Actinella obserata","2011","CR"
"Actinella obserata","1996","LR/nt"
"Actinella obserata","1994","V"
"Actinella robusta","2011","DD"
"Actinella robusta","1996","LR/nt"
"Actinella robusta","1994","E"
"Actinonaias pectorosa","1996","LR/nt"
"Addax nasomaculatus","2016","CR"
"Addax nasomaculatus","2008","CR"
"Addax nasomaculatus","2006","CR"
"Addax nasomaculatus","2000","CR"
"Addax nasomaculatus","1996","EN"
"Addax nasomaculatus","1994","E"
"Addax nasomaculatus","1990","E"
"Addax nasomaculatus","1988","E"
"Addax nasomaculatus","1986","E"
"Addax nasomaculatus","1965",NA
"Adelocosa anops","1996","EN"
"Adelocosa anops","1994","E"
"Adelocosa anops","1990","E"
"Adelocosa anops","1988","E"
"Adelocosa anops","1986","E"
"Adelocosa anops","1983","E"
"Adelopoma stolli","1996","EN"
"Adelotus brevis","2004","NT"
"Adelotus brevis","2002","NT"
