"name","result.year","result.code","result.category"
"Micropholis suborbicularis","1998","LR/nt","Lower Risk/near threatened"
"Micropholis suborbicularis","1998","R","Rare"
"Milicia excelsa","1998","LR/nt","Lower Risk/near threatened"
"Milicia excelsa","1998","nt","Not Threatened"
"Mimosa verrucosa","1998","LR/nt","Lower Risk/near threatened"
"Mimusops angel","1998","LR/nt","Lower Risk/near threatened"
"Mimusops angel","1998","R","Rare"
"Minquartia guianensis","1998","LR/nt","Lower Risk/near threatened"
"Minquartia guianensis","1998","nt","Not Threatened"
"Mokopirirakau kahutarae","2017","LR/nt","Lower Risk/near threatened"
"Mokopirirakau kahutarae","1996","LR/nt","Lower Risk/near threatened"
"Mokopirirakau kahutarae","1994","I","Indeterminate"
"Mollinedia argyrogyna","1998","LR/nt","Lower Risk/near threatened"
"Monopetalanthus heitzii","1998","K","Insufficiently Known"
"Monopetalanthus heitzii","1998","LR/nt","Lower Risk/near threatened"
"Morinda trimera","1998","LR/nt","Lower Risk/near threatened"
"Morinda trimera","1998","R","Rare"
"Myrceugenia miersiana","1998","LR/nt","Lower Risk/near threatened"
"Myrceugenia myrcioides","1998","LR/nt","Lower Risk/near threatened"
"Myristica crassa","1998","I","Indeterminate"
"Myristica crassa","1998","LR/nt","Lower Risk/near threatened"
"Myristica depressa","1998","LR/nt","Lower Risk/near threatened"
"Myristica gigantea","1998","LR/nt","Lower Risk/near threatened"
"Myristica globosa","1998","LR/nt","Lower Risk/near threatened"
"Myristica guadalcanalensis","1998","LR/nt","Lower Risk/near threatened"
"Myristica lowiana","1998","LR/nt","Lower Risk/near threatened"
"Myristica maingayi","1998","LR/nt","Lower Risk/near threatened"
"Myristica maingayi","1998","V","Vulnerable"
"Myristica succadanea","1998","LR/nt","Lower Risk/near threatened"
"Myristica xylocarpa","1998","LR/nt","Lower Risk/near threatened"
"Myrsine fernseei","1998","LR/nt","Lower Risk/near threatened"
"Myrsine fernseei","1998","R","Rare"
"Nanocochlea parva","2000","LR/nt","Lower Risk/near threatened"
"Nanocochlea parva","1994","V","Vulnerable"
"Nectandra aurea","1998","LR/nt","Lower Risk/near threatened"
"Nectandra aurea","1998","R","Rare"
"Nectandra bartlettiana","1998","LR/nt","Lower Risk/near threatened"
"Nectandra bartlettiana","1998","R","Rare"
"Nectandra cufodontisii","1998","LR/nt","Lower Risk/near threatened"
"Nectandra gracilis","1998","LR/nt","Lower Risk/near threatened"
"Nectandra gracilis","1998","R","Rare"
"Nectandra microcarpa","1998","LR/nt","Lower Risk/near threatened"
"Nectandra obtusata","1998","LR/nt","Lower Risk/near threatened"
"Nectandra obtusata","1998","R","Rare"
"Nectandra ruforamula","1998","LR/nt","Lower Risk/near threatened"
"Nectandra ruforamula","1998","R","Rare"
"Nectandra salicina","1998","LR/nt","Lower Risk/near threatened"
"Nectandra truxillensis","1998","LR/nt","Lower Risk/near threatened"
"Nectandra warmingii","1998","LR/nt","Lower Risk/near threatened"
"Neoboutonia mannii","1998","LR/nt","Lower Risk/near threatened"
"Neostenanthera robsonii","1998","LR/nt","Lower Risk/near threatened"
"Neostenanthera robsonii","1998","R","Rare"
"Nepenthes mapuluensis","2000","LR/nt","Lower Risk/near threatened"
"Nepenthes veitchii","2000","LR/nt","Lower Risk/near threatened"
"Nepenthes ventricosa","2000","LR/nt","Lower Risk/near threatened"
"Nothocestrum longifolium","1998","LR/nt","Lower Risk/near threatened"
"Nothocestrum longifolium","1998","R","Rare"
"Nothopegia heyneana","1998","LR/nt","Lower Risk/near threatened"
"Notorynchus cepedianus East Pacific subpopulation","2000","LR/nt","Lower Risk/near threatened"
"Notospartium carmichaeliae","1998","LR/nt","Lower Risk/near threatened"
"Notospartium carmichaeliae","1998","V","Vulnerable"
"Notospartium glabrescens","1998","LR/nt","Lower Risk/near threatened"
"Notospartium glabrescens","1998","R","Rare"
"Notospartium torulosum","1998","LR/nt","Lower Risk/near threatened"
"Nouelia insignis","1998","LR/nt","Lower Risk/near threatened"
"Nouelia insignis","1998","R","Rare"
"Nuxia glomerulata","1998","LR/nt","Lower Risk/near threatened"
"Nuxia glomerulata","1998","R","Rare"
"Obovaria unicolor","1996","LR/nt","Lower Risk/near threatened"
"Ocotea gabonensis","1998","LR/nt","Lower Risk/near threatened"
"Ocotea gabonensis","1998","R","Rare"
"Ocotea glaucosericea","1998","LR/nt","Lower Risk/near threatened"
"Ocotea glaucosericea","1998","nt","Not Threatened"
"Odontesthes mauleanum","1996","LR/nt","Lower Risk/near threatened"
"Odontesthes mauleanum","1994","V","Vulnerable"
"Oldenburgia grandis","1998","LR/nt","Lower Risk/near threatened"
"Oldenburgia grandis","1998","R","Rare"
"Olearia chathamica","1998","LR/nt","Lower Risk/near threatened"
"Olearia chathamica","1998","R","Rare"
"Olearia fragrantissima","1998","LR/nt","Lower Risk/near threatened"
"Olearia fragrantissima","1998","R","Rare"
"Olearia traversii","1998","LR/nt","Lower Risk/near threatened"
"Olearia traversii","1998","R","Rare"
"Oligosoma infrapunctatum","1996","LR/nt","Lower Risk/near threatened"
"Omalanthus stokesii","1998","LR/nt","Lower Risk/near threatened"
"Omalanthus stokesii","1998","R","Rare"
"Oncoba ovalis","2000","LR/nt","Lower Risk/near threatened"
"Oncosperma fasciculatum","1998","LR/nt","Lower Risk/near threatened"
"Orania decipiens","1998","LR/nt","Lower Risk/near threatened"
"Orania sylvicola","1998","LR/nt","Lower Risk/near threatened"
"Ordtrachia australis","1996","LR/nt","Lower Risk/near threatened"
"Ordtrachia australis","1994","R","Rare"
"Ordtrachia septentrionalis","1996","LR/nt","Lower Risk/near threatened"
"Ordtrachia septentrionalis","1994","R","Rare"
"Orestias laucaensis","1996","LR/nt","Lower Risk/near threatened"
"Orestias laucaensis","1994","E","Endangered"
"Oriciopsis glaberrima","1998","LR/nt","Lower Risk/near threatened"
"Oriciopsis glaberrima","1998","R","Rare"
"Ormocarpopsis aspera","1998","LR/nt","Lower Risk/near threatened"
"Ormosia hosiei","1998","LR/nt","Lower Risk/near threatened"
"Ormosia hosiei","1998","V","Vulnerable"
"Ornithoptera chimaera","1996","LR/nt","Lower Risk/near threatened"
"Ornithoptera chimaera","1994","I","Indeterminate"
"Ornithoptera chimaera","1990","I","Indeterminate"
"Ornithoptera chimaera","1988","I","Indeterminate"
"Ornithoptera chimaera","1986","I","Indeterminate"
"Ornithoptera chimaera","1985","I","Indeterminate"
"Otoba acuminata","1998","LR/nt","Lower Risk/near threatened"
