"name","result.year","state","TSFO","change.status"
"Acanthiza apicalis",1994,1,0,NA
"Acanthiza apicalis",2000,1,6,NA
"Acanthiza apicalis",2004,1,10,NA
"Acanthiza apicalis",2008,1,14,NA
"Acanthiza apicalis",2009,1,15,NA
"Acanthiza apicalis",2012,1,18,NA
"Acanthiza apicalis",2016,1,22,NA
"Acanthiza chrysorrhoa",1994,1,0,NA
"Acanthiza chrysorrhoa",2000,1,6,NA
"Acanthiza chrysorrhoa",2004,1,10,NA
"Acanthiza chrysorrhoa",2008,1,14,NA
"Acanthiza chrysorrhoa",2009,1,15,NA
"Acanthiza chrysorrhoa",2012,1,18,NA
"Acanthiza chrysorrhoa",2016,1,22,NA
"Acanthiza chrysorrhoa",2017,1,23,NA
"Acanthiza cinerea",1994,1,0,NA
"Acanthiza cinerea",2000,1,6,NA
"Acanthiza cinerea",2004,1,10,NA
"Acanthiza cinerea",2008,1,14,NA
"Acanthiza cinerea",2009,1,15,NA
"Acanthiza cinerea",2012,1,18,NA
"Acanthiza cinerea",2016,1,22,NA
"Acanthiza cinerea",2017,1,23,NA
"Acanthiza ewingii",1994,1,0,NA
"Acanthiza ewingii",2000,1,6,NA
"Acanthiza ewingii",2004,1,10,NA
"Acanthiza ewingii",2008,1,14,NA
"Acanthiza ewingii",2009,1,15,NA
"Acanthiza ewingii",2012,1,18,NA
"Acanthiza ewingii",2016,1,22,NA
"Acanthiza inornata",1994,1,0,NA
"Acanthiza inornata",2000,1,6,NA
"Acanthiza inornata",2004,1,10,NA
"Acanthiza inornata",2008,1,14,NA
"Acanthiza inornata",2009,1,15,NA
"Acanthiza inornata",2012,1,18,NA
"Acanthiza inornata",2016,1,22,NA
"Acanthiza iredalei",1994,3,0,NA
"Acanthiza iredalei",1996,3,2,NA
"Acanthiza iredalei",2000,1,6,NA
"Acanthiza iredalei",2004,1,10,NA
"Acanthiza iredalei",2008,1,14,NA
"Acanthiza iredalei",2009,1,15,NA
"Acanthiza iredalei",2012,1,18,NA
"Acanthiza iredalei",2016,1,22,NA
"Acanthiza katherina",1994,2,0,NA
"Acanthiza katherina",1996,2,2,NA
"Acanthiza katherina",2000,1,6,NA
"Acanthiza katherina",2004,1,10,NA
"Acanthiza katherina",2008,1,14,NA
"Acanthiza katherina",2009,1,15,NA
"Acanthiza katherina",2012,1,18,NA
"Acanthiza katherina",2016,1,22,NA
"Acanthiza lineata",1994,1,0,NA
"Acanthiza lineata",2000,1,6,NA
"Acanthiza lineata",2004,1,10,NA
"Acanthiza lineata",2008,1,14,NA
"Acanthiza lineata",2009,1,15,NA
"Acanthiza lineata",2012,1,18,NA
"Acanthiza lineata",2016,1,22,NA
"Acanthiza murina",1994,1,0,NA
"Acanthiza murina",2000,1,6,NA
"Acanthiza murina",2004,1,10,NA
"Acanthiza murina",2008,1,14,NA
"Acanthiza murina",2009,1,15,NA
"Acanthiza murina",2012,1,18,NA
"Acanthiza murina",2016,1,22,NA
"Acanthiza nana",1994,1,0,NA
"Acanthiza nana",2000,1,6,NA
"Acanthiza nana",2004,1,10,NA
"Acanthiza nana",2008,1,14,NA
"Acanthiza nana",2009,1,15,NA
"Acanthiza nana",2012,1,18,NA
"Acanthiza nana",2016,1,22,NA
"Acanthiza pusilla",1994,1,0,NA
"Acanthiza pusilla",2000,1,6,NA
"Acanthiza pusilla",2004,1,10,NA
"Acanthiza pusilla",2008,1,14,NA
"Acanthiza pusilla",2009,1,15,NA
"Acanthiza pusilla",2012,1,18,NA
"Acanthiza pusilla",2016,1,22,NA
"Acanthiza reguloides",1994,1,0,NA
"Acanthiza reguloides",2000,1,6,NA
"Acanthiza reguloides",2004,1,10,NA
"Acanthiza reguloides",2008,1,14,NA
"Acanthiza reguloides",2009,1,15,NA
"Acanthiza reguloides",2012,1,18,NA
"Acanthiza reguloides",2016,1,22,NA
"Acanthiza robustirostris",1994,1,0,NA
"Acanthiza robustirostris",2000,1,6,NA
"Acanthiza robustirostris",2004,1,10,NA
"Acanthiza robustirostris",2008,1,14,NA
"Acanthiza robustirostris",2009,1,15,NA
"Acanthiza robustirostris",2012,1,18,NA
"Acanthiza robustirostris",2016,1,22,NA
"Acanthiza uropygialis",1994,1,0,NA
"Acanthiza uropygialis",2000,1,6,NA
"Acanthiza uropygialis",2004,1,10,NA
"Acanthiza uropygialis",2008,1,14,NA
"Acanthiza uropygialis",2009,1,15,NA
"Acanthiza uropygialis",2012,1,18,NA
"Acanthiza uropygialis",2016,1,22,NA
"Acanthobrama centisquama",2006,4,0,NA
"Acanthobrama centisquama",2014,5,8,"N"
"Acanthobrama lissneri",2006,1,0,NA
"Acanthobrama lissneri",2014,2,8,"N"
"Acanthobrama telavivensis",2006,6,0,NA
"Acanthobrama telavivensis",2014,3,8,"G"
"Acanthocereus tetragonus",2013,1,0,NA
"Acanthocereus tetragonus",2017,1,4,NA
"Acanthochelys pallidipectoris",1996,3,0,NA
