"name","result.year","result.code","result.category"
"Boloria acrocnema","1996","VU","Vulnerable"
"Boloria acrocnema","1994","E","Endangered"
"Boloria acrocnema","1990","V","Vulnerable"
"Boloria acrocnema","1988","E","Endangered"
"Boloria acrocnema","1986","V","Vulnerable"
"Boloria acrocnema","1983","V","Vulnerable"
"Bomarea elegans","2003","VU","Vulnerable"
"Bomarea gracilis","2003","VU","Vulnerable"
"Bomarea lanata","2003","VU","Vulnerable"
"Bomarea lutea","2003","VU","Vulnerable"
"Bombacopsis quinata","1998","VU","Vulnerable"
"Bombina lichuanensis","2004","VU","Vulnerable"
"Bombus alpinus","2015","VU","Vulnerable"
"Bombus caliginosus","2014","VU","Vulnerable"
"Bombus fervidus","2015","VU","Vulnerable"
"Bombus medius","2015","VU","Vulnerable"
"Bombus mexicanus","2015","VU","Vulnerable"
"Bombus morrisoni","2014","VU","Vulnerable"
"Bombus occidentalis","2015","VU","Vulnerable"
"Bombus pensylvanicus","2015","VU","Vulnerable"
"Bombus terricola","2015","VU","Vulnerable"
"Boninosuccinea ogasawarae","1996","VU","Vulnerable"
"Boninosuccinea ogasawarae","1994","I","Indeterminate"
"Boninosuccinea punctulispira","1996","VU","Vulnerable"
"Boninosuccinea punctulispira","1994","I","Indeterminate"
"Boniodendron minus","2017","VU","Vulnerable"
"Boniodendron minus","1998","VU","Vulnerable"
"Bonnetia bolivarensis","1998","VU","Vulnerable"
"Bonnetia celiae","1998","VU","Vulnerable"
"Bonnetia chimantensis","1998","VU","Vulnerable"
"Bonnetia cordifolia","1998","I","Indeterminate"
"Bonnetia cordifolia","1998","VU","Vulnerable"
"Bonnetia holostyla","1998","VU","Vulnerable"
"Bonnetia jauensis","1998","VU","Vulnerable"
"Bonnetia kathleenae","1998","VU","Vulnerable"
"Bonnetia lanceifolia","1998","VU","Vulnerable"
"Bonnetia maguireorum","1998","VU","Vulnerable"
"Bonnetia multinervia","1998","VU","Vulnerable"
"Bonnetia rubicunda","1998","VU","Vulnerable"
"Boophis andohahela","2016","VU","Vulnerable"
"Boophis andohahela","2008","DD","Data Deficient"
"Boophis andohahela","2004","DD","Data Deficient"
"Boophis andreonei","2016","VU","Vulnerable"
"Boophis andreonei","2008","VU","Vulnerable"
"Boophis andreonei","2004","VU","Vulnerable"
"Boophis blommersae","2016","VU","Vulnerable"
"Boophis blommersae","2008","VU","Vulnerable"
"Boophis blommersae","2004","VU","Vulnerable"
"Boophis brachychir","2015","VU","Vulnerable"
"Boophis englaenderi","2016","VU","Vulnerable"
"Boophis englaenderi","2008","DD","Data Deficient"
"Boophis englaenderi","2004","DD","Data Deficient"
"Boophis fayi","2015","VU","Vulnerable"
