"name","result.year","state","TSFO","change.status"
"Acanthemblemaria harpeza",2015,0,1,"N"
"Acanthemblemaria paula",2014,3,0,"U"
"Acanthemblemaria paula",2015,0,1,"N"
"Acanthidops bairdi",1994,2,0,"U"
"Acanthidops bairdi",2000,1,6,"U"
"Acanthidops bairdi",2004,1,10,"U"
"Acanthidops bairdi",2008,1,14,"U"
"Acanthidops bairdi",2009,1,15,"U"
"Acanthidops bairdi",2012,1,18,"U"
"Acanthidops bairdi",2016,1,22,"U"
"Acanthinula spinifera",1996,0,0,"U"
"Acanthinula spinifera",2011,0,15,"U"
"Acanthis flammea",2012,1,0,"U"
"Acanthis flammea",2013,1,1,"U"
"Acanthis flammea",2016,1,4,"U"
"Acanthisitta chloris",1994,1,0,"U"
"Acanthisitta chloris",2000,1,6,"U"
"Acanthisitta chloris",2004,1,10,"U"
"Acanthisitta chloris",2008,1,14,"U"
"Acanthisitta chloris",2009,1,15,"U"
"Acanthisitta chloris",2012,1,18,"U"
"Acanthisitta chloris",2016,1,22,"U"
"Acanthisitta chloris",2017,1,23,"U"
"Acanthixalus sonjae",2004,4,0,"U"
"Acanthixalus sonjae",2006,2,2,"U"
"Acanthixalus spinosus",2004,1,0,"U"
"Acanthixalus spinosus",2013,1,9,"U"
"Acanthiza apicalis",1994,1,0,"U"
"Acanthiza apicalis",2000,1,6,"U"
"Acanthiza apicalis",2004,1,10,"U"
"Acanthiza apicalis",2008,1,14,"U"
"Acanthiza apicalis",2009,1,15,"U"
"Acanthiza apicalis",2012,1,18,"U"
"Acanthiza apicalis",2016,1,22,"U"
"Acanthiza chrysorrhoa",1994,1,0,"U"
"Acanthiza chrysorrhoa",2000,1,6,"U"
"Acanthiza chrysorrhoa",2004,1,10,"U"
"Acanthiza chrysorrhoa",2008,1,14,"U"
"Acanthiza chrysorrhoa",2009,1,15,"U"
"Acanthiza chrysorrhoa",2012,1,18,"U"
"Acanthiza chrysorrhoa",2016,1,22,"U"
"Acanthiza chrysorrhoa",2017,1,23,"U"
"Acanthiza cinerea",1994,1,0,"U"
"Acanthiza cinerea",2000,1,6,"U"
"Acanthiza cinerea",2004,1,10,"U"
"Acanthiza cinerea",2008,1,14,"U"
"Acanthiza cinerea",2009,1,15,"U"
"Acanthiza cinerea",2012,1,18,"U"
"Acanthiza cinerea",2016,1,22,"U"
"Acanthiza cinerea",2017,1,23,"U"
"Acanthiza ewingii",1994,1,0,"U"
"Acanthiza ewingii",2000,1,6,"U"
"Acanthiza ewingii",2004,1,10,"U"
"Acanthiza ewingii",2008,1,14,"U"
"Acanthiza ewingii",2009,1,15,"U"
"Acanthiza ewingii",2012,1,18,"U"
"Acanthiza ewingii",2016,1,22,"U"
"Acanthiza inornata",1994,1,0,"U"
"Acanthiza inornata",2000,1,6,"U"
"Acanthiza inornata",2004,1,10,"U"
"Acanthiza inornata",2008,1,14,"U"
"Acanthiza inornata",2009,1,15,"U"
"Acanthiza inornata",2012,1,18,"U"
"Acanthiza inornata",2016,1,22,"U"
"Acanthiza iredalei",1994,3,0,"U"
"Acanthiza iredalei",1996,3,2,"U"
"Acanthiza iredalei",2000,1,6,"U"
"Acanthiza iredalei",2004,1,10,"U"
"Acanthiza iredalei",2008,1,14,"U"
"Acanthiza iredalei",2009,1,15,"U"
