"name","result.year","result.code","result.category"
"Houbaropsis bengalensis","2009","CR","Critically Endangered"
"Houbaropsis bengalensis","2008","CR","Critically Endangered"
"Houbaropsis bengalensis","2007","CR","Critically Endangered"
"Houbaropsis bengalensis","2004","EN","Endangered"
"Houbaropsis bengalensis","2000","EN","Endangered"
"Houbaropsis bengalensis","1996","EN","Endangered"
"Houbaropsis bengalensis","1994","EN","Endangered"
"Houbaropsis bengalensis","1988","T","Threatened"
"Hucho bleekeri","2012","CR","Critically Endangered"
"Hucho perryi","2006","CR","Critically Endangered"
"Humbertochloa greenwayi","2013","CR","Critically Endangered"
"Hunteria hexaloba","2016","CR","Critically Endangered"
"Huso dauricus","2010","CR","Critically Endangered"
"Huso dauricus","1996","EN","Endangered"
"Huso dauricus","1994","R","Rare"
"Huso dauricus","1990","R","Rare"
"Huso dauricus","1988","R","Rare"
"Huso dauricus","1986","R","Rare"
"Huso huso","2010","CR","Critically Endangered"
"Huso huso","1996","EN","Endangered"
"Hybosida dauban","2014","CR","Critically Endangered"
"Hybosida lucida","2014","CR","Critically Endangered"
"Hybotettix camelus","2017","CR","Critically Endangered"
"Hydrobates macrodactylus","2016","CR","Critically Endangered"
"Hydrobates macrodactylus","2012","CR","Critically Endangered"
"Hydrobates macrodactylus","2010","CR","Critically Endangered"
"Hydrobates macrodactylus","2009","CR","Critically Endangered"
"Hydrobates macrodactylus","2008","CR","Critically Endangered"
"Hydrobates macrodactylus","2006","CR","Critically Endangered"
"Hydrobates macrodactylus","2005","CR","Critically Endangered"
"Hydrobates macrodactylus","2004","CR","Critically Endangered"
"Hydrobates macrodactylus","2000","CR","Critically Endangered"
"Hydrobates macrodactylus","1996","CR","Critically Endangered"
"Hydrobates macrodactylus","1994","CR","Critically Endangered"
"Hydrobates macrodactylus","1988","T","Threatened"
"Hydrostachys monoica","2017","CR","Critically Endangered"
"Hydrostachys perrieri","2017","CR","Critically Endangered"
"Hydrotarsus compunctus","1996","CR","Critically Endangered"
"Hydrotarsus compunctus","1994","E","Endangered"
"Hydrotriche mayacoides","2017","CR","Critically Endangered"
"Hygrophila madurensis","2011","CR","Critically Endangered"
"Hygrophila madurensis","1998","E","Endangered"
"Hyla heinzsteinitzi","2008","CR","Critically Endangered"
"Hylekobolus andasibensis","2017","CR","Critically Endangered"
"Hylekobolus latifrons","2017","CR","Critically Endangered"
"Hylocereus escuintlensis","2013","CR","Critically Endangered"
"Hylomyscus grandis","2008","CR","Critically Endangered"
"Hylomyscus grandis","2004","CR","Critically Endangered"
"Hyloscirtus chlorosteus","2010","CR","Critically Endangered"
"Hyloscirtus chlorosteus","2004","CR","Critically Endangered"
"Hyloscirtus lynchi","2017","CR","Critically Endangered"
"Hyloscirtus lynchi","2004","EN","Endangered"
"Hyloscirtus ptychodactylus","2004","CR","Critically Endangered"
"Hyloxalus anthracinus","2004","CR","Critically Endangered"
"Hyloxalus delatorreae","2010","CR","Critically Endangered"
"Hyloxalus delatorreae","2004","CR","Critically Endangered"
"Hyloxalus edwardsi","2017","CR","Critically Endangered"
"Hyloxalus edwardsi","2004","CR","Critically Endangered"
"Hyloxalus ruizi","2017","CR","Critically Endangered"
