"name","result.year","result.code","result.category"
"Nisaetus pinskeri","2014","EN","Endangered"
"Nisaetus pinskeri","2008","NR","Not Recognized"
"Nisaetus pinskeri","2006","NR","Not Recognized"
"Nisaetus pinskeri","2004","NR","Not Recognized"
"Nisaetus pinskeri","2000","NR","Not Recognized"
"Nisaetus pinskeri","1994","NR","Not Recognized"
"Nisaetus pinskeri","1988","NR","Not Recognized"
"Niviventer hinpoon","2016","EN","Endangered"
"Niviventer hinpoon","2008","DD","Data Deficient"
"Niviventer hinpoon","1996","LR/nt","Lower Risk/near threatened"
"Nocticola gerlachi","2012","EN","Endangered"
"Nomascus gabriellae","2008","EN","Endangered"
"Nomascus gabriellae","2000","VU","Vulnerable"
"Nomascus gabriellae","1996","DD","Data Deficient"
"Nomascus siki","2008","EN","Endangered"
"Nomascus siki","2000","DD","Data Deficient"
"Nomorhamphus towoetii","2009","EN","Endangered"
"Nomorhamphus towoetii","1996","VU","Vulnerable"
"Nososticta pilbara","2017","EN","Endangered"
"Nososticta pilbara","2009","EN","Endangered"
"Nostolachma crassifolia","1998","EN","Endangered"
"Notarius bonillai","1996","EN","Endangered"
"Nothobranchius sagittae","2016","EN","Endangered"
"Nothobranchius symoensi","2010","EN","Endangered"
"Nothobranchius symoensi","2009","LC","Least Concern"
"Nothocestrum latifolium","1998","E","Endangered"
"Nothocestrum latifolium","1998","EN","Endangered"
"Nothofagus alessandrii","2017","EN","Endangered"
"Nothofagus alessandrii","1998","E","Endangered"
"Nothofagus alessandrii","1998","EN","Endangered"
"Nothofagus womersleyi","1998","EN","Endangered"
"Nothofagus womersleyi","1998","I","Indeterminate"
"Nothophryne broadleyi","2004","EN","Endangered"
"Notocerus cornutus","2017","EN","Endangered"
"Notoglanidium maculatum","2010","EN","Endangered"
"Notogomphus maathaiae","2016","EN","Endangered"
"Notogomphus ruppeli","2006","EN","Endangered"
"Notomys aquilo","2016","EN","Endangered"
"Notomys aquilo","2008","EN","Endangered"
"Notomys aquilo","1996","LR/nt","Lower Risk/near threatened"
"Notomys aquilo","1994","K","Insufficiently Known"
"Notomys aquilo","1990","K","Insufficiently Known"
"Notomys aquilo","1988","K","Insufficiently Known"
"Notomys aquilo","1986","K","Insufficiently Known"
"Notomys aquilo","1982","K","Insufficiently Known"
"Notopala sublineata","1996","EN","Endangered"
"Notophthalmus meridionalis","2008","EN","Endangered"
"Notophthalmus meridionalis","2004","EN","Endangered"
"Nototrichium humile","2015","EN","Endangered"
"Nototriton barbouri","2008","EN","Endangered"
"Nototriton barbouri","2004","EN","Endangered"
"Nototriton brodiei","2014","EN","Endangered"
"Nototriton brodiei","2008","CR","Critically Endangered"
"Nototriton brodiei","2004","CR","Critically Endangered"
"Nototriton limnospectator","2008","EN","Endangered"
"Nototriton limnospectator","2004","EN","Endangered"
"Notropis albizonatus","2013","EN","Endangered"
"Notropis cahabae","2013","EN","Endangered"
"Notropis cahabae","1996","CR","Critically Endangered"
"Notropis cahabae","1994","E","Endangered"
"Notropis cahabae","1990","E","Endangered"
"Notropis mekistocholas","2013","EN","Endangered"
"Notropis mekistocholas","1996","CR","Critically Endangered"
"Notropis mekistocholas","1994","E","Endangered"
"Notropis mekistocholas","1990","E","Endangered"
"Notropis mekistocholas","1988","V","Vulnerable"
"Notropis mekistocholas","1986","V","Vulnerable"
"Notropis simus","2014","EN","Endangered"
"Notropis simus","1996","EN","Endangered"
"Notropis simus","1994","E","Endangered"
"Notropis simus","1990","E","Endangered"
"Notropis simus","1988","E","Endangered"
"Notropis simus","1986","E","Endangered"
"Noturus fasciatus","2013","EN","Endangered"
"Noturus gilberti","2013","EN","Endangered"
"Noturus gilberti","1996","VU","Vulnerable"
"Noturus gilberti","1994","V","Vulnerable"
"Noturus gilberti","1990","V","Vulnerable"
"Noturus gilberti","1988","V","Vulnerable"
"Noturus gilberti","1986","V","Vulnerable"
"Noturus lachneri","2013","EN","Endangered"
"Noturus lachneri","2010","EN","Endangered"
"Noturus lachneri","1996","VU","Vulnerable"
"Noturus lachneri","1994","V","Vulnerable"
"Noturus lachneri","1990","V","Vulnerable"
"Noturus lachneri","1988","E","Endangered"
"Noturus lachneri","1986","E","Endangered"
"Noturus stanauli","2013","EN","Endangered"
"Noturus stanauli","1996","VU","Vulnerable"
"Noturus stanauli","1994","E","Endangered"
"Noturus stanauli","1990","E","Endangered"
"Noturus stanauli","1988","R","Rare"
"Noturus stanauli","1986","R","Rare"
"Noturus taylori","2013","EN","Endangered"
"Noturus taylori","1996","VU","Vulnerable"
"Noturus taylori","1994","V","Vulnerable"
"Noturus taylori","1990","V","Vulnerable"
"Noturus taylori","1988","R","Rare"
"Noturus taylori","1986","R","Rare"
"Numenius madagascariensis","2017","EN","Endangered"
"Numenius madagascariensis","2016","EN","Endangered"
"Numenius madagascariensis","2015","EN","Endangered"
"Numenius madagascariensis","2012","VU","Vulnerable"
"Numenius madagascariensis","2010","VU","Vulnerable"
"Numenius madagascariensis","2009","LC","Least Concern"
"Numenius madagascariensis","2008","LC","Least Concern"
"Numenius madagascariensis","2004","LC","Least Concern"
"Numenius madagascariensis","2000","LR/nt","Lower Risk/near threatened"
"Numenius madagascariensis","1994","LR/nt","Lower Risk/near threatened"
"Numenius madagascariensis","1988","LR/lc","Lower Risk/least concern"
"Nyctanolis pernix","2008","EN","Endangered"
"Nyctanolis pernix","2004","EN","Endangered"
"Nyctibatrachus aliciae","2004","EN","Endangered"
"Nyctibatrachus beddomii","2004","EN","Endangered"
"Nyctibatrachus karnatakaensis","2004","EN","Endangered"
"Nyctibatrachus minor","2004","EN","Endangered"
"Nyctibatrachus sanctipalustris","2004","EN","Endangered"
"Nyctibatrachus vasanthi","2004","EN","Endangered"
"Nyctimene rabori","2008","EN","Endangered"
"Nyctimene rabori","1996","CR","Critically Endangered"
"Nyctimene rabori","1994","E","Endangered"
"Nyctimene rabori","1990","E","Endangered"
"Nyctimene rabori","1988","E","Endangered"
"Nymphaea loriana","2017","EN","Endangered"
"Nymphargus luminosus","2017","EN","Endangered"
"Nymphargus luminosus","2004","EN","Endangered"
"Nymphargus mariae","2004","EN","Endangered"
"Nymphargus megacheirus","2004","EN","Endangered"
"Nymphargus puyoensis","2009","EN","Endangered"
"Nymphargus puyoensis","2004","CR","Critically Endangered"
"Nymphoides bosseri","2017","EN","Endangered"
